"","analysisId","nctId","pValue","statisticalMethod","studyType","EARLY_PHASE1","PHASE1","PHASE2","PHASE3","PHASE4","outcomeTitle","outcomeType","groupDescription","conditionIds","briefTitle","has_less_than","N","model","I","R","C","JAB"
"1","000b15fd0f89314c7a8a6d517f05f580","NCT01695863",0.042,"Two-sample t-test","INTERVENTIONAL",0,0,0,0,1,"Renal Function Pre and Post Bowel Prep (mg/dL)","SECONDARY","Sodium","D015179","Efficacy and Patient Satisfaction of Miralax and Gatorade Versus Movi Prep",FALSE,128,"t-test",NA,NA,NA,1.45436033935212
"2","00217bfeac2a793d634de9d6304b4337","NCT00910689",0.03,"Two-sample t-test","INTERVENTIONAL",0,0,0,0,1,"Change in Quality of Life at Month 16","SECONDARY","Post-test contrast. Mean difference in change.","D008881; D006261","Drug and Non-Drug Treatment Of Severe Migraine",FALSE,108,"t-test",NA,NA,NA,1.00825566060259
"3","0049049023adbbc782eb3eb8fa2e7687","NCT01056718",0.05,"Two-sample t-test","INTERVENTIONAL",0,0,0,0,0,"Resting Systolic BP","PRIMARY","Nebivolol treatment group refers to 50 patients that completed 10 weeks of open label nebivolol treatment. Results were compared using paired T-tests in a pre - post study design before and after 10 weeks of treatment. Each subject served as his/her own control.","D006973; D054160","Effects of Nebivolol on Exercise Tolerance and Left Ventricular Systolic and Diastolic Function",TRUE,50,"t-test",NA,NA,NA,1.07648023860356
"4","0059cb3359eae93692edcc9e8020bce1","NCT04716010",0.05,"Linear regression","INTERVENTIONAL",0,0,0,0,0,"Specific Perceived Healthfulness","SECONDARY",NA,"D003110; D012004","Developing and Evaluating Product Messaging",TRUE,1750,"linear_regression",NA,NA,NA,6.13526752012651
"5","005a1ae8196e41c451233629925ff0f5","NCT02939131",0.05,"Two-sample t-test","INTERVENTIONAL",0,0,0,0,0,"Depression Outcomes: Quick Inventory of Depression Symptomatology Self-Report (QIDS-SR) Response to Treatment Over 48 Weeks, Defined as a Decrease in QIDS-SR Score by > 50%","SECONDARY","We tested the null hypothesis that the treatment group means were equal vs. not.","D003863; D003866","IMPAACT 2002: Cognitive Behavioral Therapy and Medication Management for Treatment of Depression in US Youth With HIV",FALSE,126,"t-test",NA,NA,NA,1.66971913113983
"6","006fd0cb04bfd97ec1eb48be8ac17ba9","NCT03163264",0.05,"Mann-Whitney","INTERVENTIONAL",0,0,0,0,0,"Mean Weight Change in Kg","PRIMARY",NA,"D050177","The Peer Assisted Lifestyle Intervention",FALSE,281,"mann_whitney",NA,NA,NA,2.47263222241364
"7","00a1e2b752f343dfa84d48bb74aac05c","NCT02528253",0.0235,"Logistic regression","INTERVENTIONAL",0,0,0,1,0,"Percentage of Participants Achieving RMDQ Reduction of >=30%, >=50%, >=70% and >=90% From Baseline at Weeks 2, 4, 8, 16, 24, 32, 40, 48 and 56: Mixed Baseline Observation Carried Forward (BOCF)/Last Observation Carried Forward (LOCF)","SECONDARY","Week 4, \>=50%: OR and 95% CI estimated from logistic regression model. Logistic regression model included baseline RMDQ, baseline average LBPI and treatment.","D001416; D017116","A Phase 3 Study of Tanezumab for Chronic Low Back Pain",FALSE,1011,"logistic_regression",NA,NA,NA,2.45053077955471
"8","00a3a149908704414eb388ceecbfeefb","NCT00591578",0.015,"Logistic regression","INTERVENTIONAL",0,0,0,1,0,"Percentage of Participants Who Achieve a Clinic Diastolic Blood Pressure Response, Defined as < 90 mm Hg and/or Reduction From Baseline ≥ 10 mm Hg.","SECONDARY",NA,"D006973; D000075222","Efficacy and Safety Comparison of Azilsartan Medoxomil to Valsartan in Participants With Essential Hypertension",FALSE,633,"logistic_regression",NA,NA,NA,1.31215998662274
"9","00ac46f4b74c3526b34aae4d6589e3fc","NCT01945034",0.043,"ANOVA","INTERVENTIONAL",0,0,0,1,0,"Change From Baseline in Ankle Pain at Rest and Upon Weight Bearing (PID NRS) at Pre-specified Time Points","SECONDARY","At Rest Day 4(AM): The ANOVA model was used which contains treatment, baseline categorical pain severity rating, pooled site block, and baseline pain intensity at rest terms. Upper limit of 95% CI \< 0 for Ibuprofen treatment significantly better than combined Placebo.","D013180; D016512","5% Topical Ibuprofen (IBU) for Ankle Sprain",FALSE,219,"anova",2,NA,NA,1.92742522970739
"10","00b982f501b22671ec77df342f94ccaa","NCT03670810",0.03,"Logistic regression","INTERVENTIONAL",0,0,0,1,0,"Percentage of Participants With Pain Freedom, Pain Relief, Freedom From MBS, and No Disability Postdose During First Attack","SECONDARY","Freedom from MBS 1 Hour 200 mg","D008881","A Study of Lasmiditan (LY573144) Over Four Migraine Attacks",FALSE,877,"logistic_regression",NA,NA,NA,2.81874643634291
